머천트,프로모션명,혜택,기간,조건
인터넷 교보문고,퀵계좌이체,0.4% 즉시 할인,제한 없음,1만원 이상 결제 시
인터넷 교보문고,카카오페이,3000원 즉시 할인,제한 없음,5만원 이상 결제 시
인터넷 교보문고,토스페이,2000원 즉시 할인,제한 없음,4만원 이상 결제 시
인터넷 교보문고,추가 적립 혜택,통합포인트 2000원 추가 적립,제한 없음,5만원 이상 구매 시
인터넷 교보문고,e캐시 추가 적립,최대 20% 추가 적립,제한 없음,1만원 이상 충전 시
인터넷 교보문고,설날 덕담 e캐시,최대 10000원 e캐시,제한 없음,이벤트 참여 시
인터넷 교보문고,설날 쿠폰팩,20000원 쿠폰,제한 없음,쿠폰 다운로드 시
인터넷 교보문고,교보문고 APP 설치,최대 2000원 e교환권,제한 없음,앱 설치 시
인터넷 교보문고,주말 APP 방문,1000원 e교환권,주말,앱 방문 시 (선착순)
인터넷 교보문고,바로드림 주문,1000원 e교환권,제한 없음,바로드림 주문 시
인터넷 교보문고,Klover 리뷰 작성,200원 e교환권,제한 없음,리뷰 작성 시
인터넷 교보문고,이달의 책 2월,500원 e교환권 및 사은품,2026년 2월,북메이트 참여 또는 3만원 이상 구매 시
인터넷 교보문고,하나머니 사용,100% 포인트 사용 가능,제한 없음,온라인 매장 이용 시
인터넷 교보문고,현대카드 M포인트,최대 5% 포인트 사용,제한 없음,온라인 결제 시
인터넷 교보문고,삼성카드 포인트,100% 포인트 사용 가능,제한 없음,온라인 결제 시
인터넷 교보문고,OK 캐시백 적립/사용,0.5% 적립 및 사용,제한 없음,10원 단위 사용 가능
인터넷 교보문고,L.Point 적립/사용,0.5% 적립 및 사용,제한 없음,10원 단위 사용 가능
인터넷 교보문고,현대블루멤버스 사용,최대 50% 포인트 사용,제한 없음,연간 최대 100만원 한도
인터넷 교보문고,GS 포인트 적립/사용,0.5% 적립 및 사용,제한 없음,1000원 단위 사용 가능
인터넷 교보문고,기아멤버스 사용,최대 30% 포인트 사용,제한 없음,월 1회 최대 3만원
