플랫폼,프로모션명,혜택,대상,기간,조건/제외사항
NOL,국내 숙박 쿠폰 패키지,3~8% 할인 (최대 5천~5만원),전체 이용자,2026년 2월,쿠폰별 상이; 매일 발급
NOL,해외 항공권/호텔/여행 쿠폰 패키지,5~20% 할인 (최대 100만원),전체 이용자,2026년 2월,지역별 상이; 선착순
NOL,배민클럽 이벤트,2개월 무료 멤버십,국내 숙박 예약자,2026년 2월 4~28일,1인 1회; 본인 인증 필요
NOL,NOL 기업 회원,10% 웰컴 쿠폰 + 2% 포인트 적립,제휴 기업 임직원,2026년 2월,ID별 제한; 양도 불가
NOL,NOL 머니 적립,2~3% 포인트 적립,NOL 머니 이용자,2026년 5월 31일까지,은행 연동 필요; 최대 충전 200만원
NOL,카카오페이 결제 혜택,2천~1만원 즉시 할인,카카오페이 이용자,2026년 2월 1~28일,최소 결제 금액 조건; 일일 한정 (600/100명)
NOL,토스페이 결제 혜택,1천원 적립 / 3천~1만원 할인,토스페이 이용자,2026년 2월 1~28일,매일 오전 10시; 선착순 (50~210명)
NOL,네이버페이 / 우리은행 연동,최대 3만2천 NOL 포인트 혜택,우리은행 계좌 보유자,2026년 2월,우리은행 계좌를 NOL 머니에 연동 필요
NOL,나라사랑카드 혜택,최대 1만3천 NOL 포인트,나라사랑카드 이용자,2026년 2월,결제 금액별 단계 적립 (1천/3천/1만원)
NOL,하나/우리카드 (투어&티켓),1천~6천원 즉시 할인,카드 이용자,2026년 2월,최소 결제 5만/16만원; 선착순
